experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2A_decay,0,0,1,3,0.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.33219632345309513,0.0,1,-0.7465992931009098,-0.6937274488641167,-0.6937274488641167,1.5274314249988423,1.5274314249988423,1.9992415590529728,0.34305249992758036
2A_decay,0,0,1,3,0.8,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.4904671716712286,0.0,1,-0.23235771918668596,-0.22372381961839571,-0.22372381961839571,4.508020598403941,4.508020598403941,4.99737222230856,0.33505320898257196
2A_decay,0,0,1,3,0.95,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.5568398499551425,1.7184868146044464e-66,1,-0.05147169067620476,-0.05187356269174279,-0.05187356269174279,19.4942478861996,19.4942478861996,19.93295685191559,0.34954058402217925
2A_decay,0,0,1,3,1.2,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.6509192081967499,0.7351707544360406,0,8.281130534226746e-06,-0.0005578672443587939,-0.0005578672443587939,0.34360501305459507,0.34360501305459507,1.0,0.3351065830793232
2A_decay,0,0,1,3,1.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.7412191652863538,0.9442118702994546,0,2.204090624432048e-05,0.03012383661164452,0.03012383661164452,0.6057791401756835,0.6057791401756835,1.0,0.3321009171195328
2A_decay,1,0,1,3,0.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.3210026755846333,0.0,1,-0.7318317694439828,-0.6939023731199442,-0.6939023731199442,0.7530189461342028,0.7530189461342028,1.160551587614502,0.33647687500342727
2A_decay,1,0,1,3,0.8,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.4720894196225172,0.0,1,-0.23487056546062812,-0.22389874387420816,-0.22389874387420816,0.8414255051021902,0.8414255051021902,1.2487504181944322,0.3325315839610994
2A_decay,1,0,1,3,0.95,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.534636318598647,3.755317233730987e-66,1,-0.05151889587923309,-0.05204848694755692,-0.05204848694755692,0.8835969917114405,0.8835969917114405,1.284605352034748,0.33277220907621086
2A_decay,1,0,1,3,1.2,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.6222983545159751,0.79491420921504,0,9.261064805364647e-06,-0.0016072433097199456,-0.0016072433097199456,0.8387934922174789,0.8387934922174789,1.2463931054621677,0.34049670910462737
2A_decay,1,0,1,3,1.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.7053586786916974,0.9691734017316727,0,-7.898430829170895e-06,0.0399475180792816,0.0399475180792816,0.694257795588643,0.694257795588643,1.0895016766897097,0.3355192909948528
