experiment,sweep_axis,level,topology_kind,graph,replicate,n_units,n_steps,rho,leak_rate,sigma_u,state_noise,nominal_density,realized_density,in_degree_max,in_degree_std,gain_max,gain_std,mc_total,mc_effective_delay,ipc_total,ipc_linear,ipc_nonlinear,wall_time_s
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,0,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,8.0,1.989572818471342,1.845321718185005,0.3753986097250695,9.595271393619115,7.30405161879271,15.056875843324448,9.571678448445263,5.485197394879185,0.6801182499621063
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,0,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,8.0,1.989572818471342,1.852963376106721,0.41552566997633256,10.910866575599194,6.560311691527393,18.175855975013633,10.913070883799962,7.26278509121367,0.6727239999454468
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,0,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,8.0,1.989572818471342,1.267943504639992,0.29819768133969704,10.868123151417233,6.889314487926227,16.506131501412177,10.840780516118803,5.665350985293374,0.6672987090423703
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,1,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.8331211407866086,0.3627519701933305,12.371887958425045,7.2425204323463435,18.667544242394214,12.369622185973057,6.297922056421157,0.6647534579969943
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,1,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.14369558868928,0.21192004512415255,8.804159795844159,5.885430715313667,15.60551518627014,8.789834939964125,6.815680246306014,0.6677398330066353
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,1,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.3009816622320816,0.29165127614327985,11.803834110574938,7.977471337232457,17.136125832264124,11.745860513071117,5.390265319193007,0.669519874965772
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,2,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1344,8.0,1.4934523762075578,1.3878070835621248,0.3247767507800561,12.110046304058512,7.47574679926949,17.69498871409464,12.09712650772134,5.597862206373302,0.6649990000296384
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,2,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1344,8.0,1.4934523762075578,1.133908471362944,0.21705908148864989,8.862953742801912,5.490259192699217,15.369949352366937,8.860380816943573,6.509568535423364,0.6598860409576446
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,2,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1344,8.0,1.4934523762075578,1.2508365345046484,0.2539386482186892,10.972870700877746,7.348412517212092,17.678641380623468,10.933654555637501,6.744986824985967,0.6648435420356691
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,3,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,9.0,1.9448393249829148,1.3089658208270392,0.31908846919995426,10.798414711783082,7.181091556264028,16.52303353568586,10.775396845231944,5.747636690453918,0.6650430001318455
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,3,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,9.0,1.9448393249829148,1.3053998854370878,0.32691523267218653,10.141576328452757,6.024114868758593,17.004417919993724,10.136603215295978,6.8678147046977465,0.6640214170329273
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,3,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,9.0,1.9448393249829148,1.6340143085481973,0.38280058229061026,11.498172915580469,7.066327699813173,17.68337811376275,11.468342807442614,6.215035306320136,0.6675335420295596
