experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,none,25,0.95,erdos_renyi,0,0,13.782967505418101,33.058623950718236,33.058623950718236,12.945208758080913,20.113415192637323,0.1313628749921918
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,0,0,12.964888542601427,32.223137540182286,33.058623950718236,12.885954536255422,19.337183003926864,0.2183205410838127
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,0,0,12.8922391286009,32.182581480928846,33.058623950718236,12.885954536255422,19.296626944673424,0.22047883295454085
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,0,0,12.884811881841781,32.17111334824445,33.058623950718236,12.885954536255422,19.285158811989024,0.2201112499460578
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,0,0,12.94133683961147,32.218879793727965,33.058623950718236,12.885954536255422,19.332925257472542,0.6021092089358717
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,0,0,12.884811881841781,32.17498271719813,33.058623950718236,12.885954536255422,19.289028180942704,0.5971940420567989
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,0,0,12.884811881841781,32.15883497858653,33.058623950718236,12.885954536255422,19.27288044233111,0.5960958329960704
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,0,0,12.910196595037876,32.22578548071262,33.058623950718236,12.885954536255422,19.339830944457194,2.172606041887775
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,0,0,12.884811881841781,32.170941189552394,33.058623950718236,12.885954536255422,19.284986653296972,2.196902417112142
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,0,0,12.884811881841781,32.12785388774803,33.058623950718236,12.885954536255422,19.24189935149261,2.184350833063945
3Th_ladder_threshold,none,25,0.95,erdos_renyi,0,1,14.56814451529209,31.423625355789838,31.423625355789838,13.727294504976527,17.69633085081331,0.12049854197539389
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,0,1,13.871773664403577,30.739683514058015,31.423625355789838,13.679195016342462,17.060488497715554,0.2159525000024587
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,0,1,13.862827657496288,30.578511061589072,31.423625355789838,13.672257622849049,16.906253438740023,0.21713791601359844
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,0,1,13.859825199365526,30.50196168509261,31.423625355789838,13.672257622849049,16.82970406224356,0.21976266684941947
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,0,1,13.746248291827335,30.667079734783822,31.423625355789838,13.679195016342462,16.98788471844136,0.591724666999653
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,0,1,13.692754290380469,30.53451345242237,31.423625355789838,13.672257622849049,16.86225582957332,0.5985889160074294
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,0,1,13.672986269404698,30.44482971574137,31.423625355789838,13.668272633628803,16.776557082112568,0.5994187500327826
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,0,1,13.746248291827335,30.68435293554736,31.423625355789838,13.679195016342462,17.005157919204898,2.1706410420592874
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,0,1,13.692754290380469,30.510655335476176,31.423625355789838,13.672257622849049,16.838397712627128,2.1737976670265198
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,0,1,13.672986269404698,30.436993026772182,31.423625355789838,13.668272633628803,16.76872039314338,2.1819946251343936
3Th_ladder_threshold,none,25,0.95,erdos_renyi,1,0,14.554730370233376,32.212297141948,32.212297141948,13.718979826565343,18.493317315382654,0.12014412507414818
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,1,0,13.67200321825195,31.441024023676814,32.212297141948,13.665026157484972,17.775997866191844,0.2178612919524312
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,1,0,13.66802397405056,31.31620611086524,32.212297141948,13.661321426162427,17.654884684702814,0.2178645411040634
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,1,0,13.663961261989602,31.289673058352523,32.212297141948,13.661321426162427,17.628351632190096,0.21862562489695847
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,1,0,13.675733232142555,31.351913522959382,32.212297141948,13.665026157484972,17.686887365474412,0.595492959022522
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,1,0,13.66802397405056,31.285480683799705,32.212297141948,13.661321426162427,17.624159257637277,0.5977966669015586
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,1,0,13.663961261989602,31.268312627584244,32.212297141948,13.661321426162427,17.606991201421817,0.5934807499870658
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,1,0,13.693741705024475,31.358770467641122,32.212297141948,13.665026157484972,17.69374431015615,2.1838709169533104
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,1,0,13.67200321825195,31.293679625094082,32.212297141948,13.661321426162427,17.632358198931655,2.183691000100225
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,1,0,13.663961261989602,31.272690109225888,32.212297141948,13.661321426162427,17.61136868306346,2.171649708878249
3Th_ladder_threshold,none,25,0.95,erdos_renyi,1,1,17.191426412296675,35.41072530351563,35.41072530351563,16.35557021401066,19.055155089504975,0.12043037521652877
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,1,1,16.402492661462194,34.58860408084879,35.41072530351563,16.325605267643052,18.262998813205737,0.21718437504023314
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,1,1,16.358422414479744,34.51165384013074,35.41072530351563,16.32197050578731,18.18968333434343,0.21956645790487528
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,1,1,16.347749257266496,34.45881045369859,35.41072530351563,16.32197050578731,18.13683994791128,0.21844754205085337
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,1,1,16.368809360130157,34.63858042176441,35.41072530351563,16.325605267643052,18.312975154121357,0.5941210000310093
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,1,1,16.336631614906405,34.48385628827996,35.41072530351563,16.31414629622796,18.169709992052,0.6036201249808073
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,1,1,16.325078596796505,34.382793078118866,35.41072530351563,16.31414629622796,18.068646781890905,0.594614707864821
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,1,1,16.37224894507502,34.648867952940336,35.41072530351563,16.325605267643052,18.323262685297284,2.1797054999042302
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,1,1,16.340391159763126,34.50344187175851,35.41072530351563,16.31414629622796,18.18929557553055,2.177960083121434
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,1,1,16.325078596796505,34.41754573818688,35.41072530351563,16.309635964943,18.107909773243883,2.1734739171806723
3Th_ladder_threshold,none,25,0.95,erdos_renyi,2,0,15.739331092177585,32.05076993914136,32.05076993914136,14.894413192470358,17.156356746671,0.12081541703082621
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,2,0,14.947060226882376,31.243347356343833,32.05076993914136,14.841523835973351,16.40182352037048,0.21814299980178475
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,2,0,14.93029003678112,31.199255435106664,32.05076993914136,14.841523835973351,16.357731599133313,0.2168941660784185
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,2,0,14.92352257384129,31.191879857024396,32.05076993914136,14.841523835973351,16.350356021051045,0.21539187501184642
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,2,0,14.933669218262507,31.254413318276324,32.05076993914136,14.841523835973351,16.412889482302973,0.5914435000158846
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,2,0,14.853602801943978,31.184438832017484,32.05076993914136,14.841523835973351,16.342914996044133,0.597855000058189
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,2,0,14.842517101678677,31.160902898632877,32.05076993914136,14.841523835973351,16.319379062659525,0.602428917074576
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,2,0,14.92013018731403,31.246775223405166,32.05076993914136,14.841523835973351,16.405251387431814,2.187117167050019
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,2,0,14.842517101678677,31.16895478438679,32.05076993914136,14.841523835973351,16.32743094841344,2.169014750048518
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,2,0,14.838512887025342,31.1481864236126,32.05076993914136,14.841523835973351,16.30666258763925,2.177782792132348
3Th_ladder_threshold,none,25,0.95,erdos_renyi,2,1,16.461989327180785,33.14705551533078,33.14705551533078,15.624897374394498,17.522158140936277,0.12000787490978837
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,2,1,15.645893968230519,32.39688616747593,33.14705551533078,15.595687389316472,16.801198778159453,0.21791241713799536
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,2,1,15.622963239863811,32.30762564942367,33.14705551533078,15.592293393224216,16.715332256199453,0.2179419999010861
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,2,1,15.616209623522373,32.24864172774073,33.14705551533078,15.592293393224216,16.656348334516515,0.2185100419446826
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,2,1,15.609361216973028,32.403374944826886,33.14705551533078,15.595687389316472,16.807687555510412,0.5945409999694675
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,2,1,15.594488100834702,32.245341591742516,33.14705551533078,15.588360830404879,16.656980761337635,0.5984708750620484
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,2,1,15.590552543451338,32.21175826961374,33.14705551533078,15.570930806928692,16.640827462685046,0.5959550840780139
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,2,1,15.609361216973028,32.38318977044631,33.14705551533078,15.592293393224216,16.79089637722209,2.184043457964435
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,2,1,15.598345134143917,32.277184670084424,33.14705551533078,15.592293393224216,16.684891276860206,2.1854802081361413
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,2,1,15.590552543451338,32.21241066944722,33.14705551533078,15.58408858504822,16.628322084399002,2.1670461669564247
3Th_ladder_threshold,none,25,0.95,erdos_renyi,3,0,16.325209031187395,34.02525436451114,34.02525436451114,15.495078259632397,18.530176104878745,0.1206542500294745
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,3,0,15.471625206997826,33.226597134016814,34.02525436451114,15.452321350329646,17.774275783687166,0.21901287487708032
