experiment,rho,leak_rate,state_noise,replicate,n_units,alpha,val_nrmse,regime,amplitude_ratio,std_ratio,autocorr_peak,diverged,n_completed,stats_steps,valid_time_threshold,valid_time_steps,valid_time_lyapunov,valid_time_censored,wall_time_s
4C_stability,0.7,0.1,0.0,0,200,1e-08,1.1479258903303574e-05,diverged,6.427983424994002e+307,nan,nan,True,6458,20000,0.4,336,3.077967296395698,False,0.3189799590036273
4C_stability,0.7,0.1,0.0,1,200,1e-08,9.757825116525497e-05,diverged,6.334812493821897e+307,nan,nan,True,8161,20000,0.4,95,0.8702586105880695,False,0.381828207988292
4C_stability,0.7,0.1,0.0,2,200,1e-08,0.0002771428683697629,diverged,6.292781569502487e+307,nan,nan,True,5218,20000,0.4,467,4.278008117311878,False,0.2771868328563869
4C_stability,0.7,0.1,0.0,3,200,1e-07,4.054024770718755e-05,attractor,2.4514837062258383,1.696885470184337,0.31584249866402525,False,20000,20000,0.4,144,1.319128841312442,False,0.7802305419463664
4C_stability,0.7,0.1,0.0,4,200,1e-07,1.7477376061846986e-05,diverged,5.100365793858047e+307,nan,nan,True,3632,20000,0.4,88,0.806134291913159,False,0.22531537502072752
4C_stability,0.7,0.1,0.0001,0,200,1e-06,4.840053759786915e-05,diverged,6.58778156092877e+307,nan,nan,True,17529,20000,0.4,197,1.8046415398510491,False,0.7290838749613613
4C_stability,0.7,0.1,0.0001,1,200,1e-08,0.000143711971014848,attractor,1.3931442697371292,1.293238404049911,0.489757357535727,False,20000,20000,0.4,211,1.9328901772008698,False,0.8176472499035299
4C_stability,0.7,0.1,0.0001,2,200,1e-08,0.00029388786992406914,attractor,1.5088803413647387,1.2085447380093854,0.20840697158914137,False,20000,20000,0.4,294,2.693221384346236,False,0.8196253331843764
4C_stability,0.7,0.1,0.0001,3,200,1e-07,6.892331448406978e-05,attractor,1.5052746185763637,1.3864473482242898,0.1555479393657394,False,20000,20000,0.4,234,2.143584367132718,False,0.819769375026226
4C_stability,0.7,0.1,0.0001,4,200,1e-06,5.470964125692503e-05,diverged,6.020170799071936e+307,nan,nan,True,4062,20000,0.4,98,0.8977404614487453,False,0.2453707919921726
4C_stability,0.7,0.1,0.001,0,200,0.0001,0.00029318556014276025,attractor,1.0690348793435733,0.9999467990826284,0.1749945098329554,False,20000,20000,0.4,190,1.740517221176139,False,0.8203767079394311
4C_stability,0.7,0.1,0.001,1,200,1e-05,0.0004903192856034108,attractor,1.466164680083102,1.2240142172632662,0.12593513527320493,False,20000,20000,0.4,285,2.6107758317642085,False,0.8167725000530481
4C_stability,0.7,0.1,0.001,2,200,1e-08,0.0006879946639717203,attractor,1.4271310945275195,1.2197796692398928,0.18750751898358808,False,20000,20000,0.4,243,2.226029919714746,False,0.8211285420693457
4C_stability,0.7,0.1,0.001,3,200,0.0001,0.0003271283709831788,attractor,1.0851557139037364,1.1357025156653533,0.34503754285070065,False,20000,20000,0.4,213,1.951211411107987,False,0.8145362080540508
4C_stability,0.7,0.1,0.001,4,200,0.0001,0.00030271560680010545,diverged,5.199158776535341e+307,nan,nan,True,4522,20000,0.4,82,0.7511705901918073,False,0.2610952081158757
4C_stability,0.7,0.1,0.01,0,200,0.01,0.0017640622220802637,attractor,1.1044961111266018,0.9648112965575499,0.12174265178387701,False,20000,20000,0.4,45,0.41222776291013813,False,0.8183258750941604
4C_stability,0.7,0.1,0.01,1,200,0.001,0.002694033853486219,diverged,6.326538275725898e+307,nan,nan,True,9871,20000,0.4,221,2.024496346736456,False,0.45249804202467203
4C_stability,0.7,0.1,0.01,2,200,0.001,0.0023651558935593006,diverged,6.425335499924532e+307,nan,nan,True,19725,20000,0.4,135,1.2366832887304144,False,0.8078937078826129
4C_stability,0.7,0.1,0.01,3,200,0.01,0.002108805492445417,attractor,1.0150258329101298,1.0213660086003136,0.16853339465841585,False,20000,20000,0.4,124,1.1359165022412696,False,0.8185470001772046
4C_stability,0.7,0.1,0.01,4,200,0.001,0.0015869166793981723,diverged,5.359617333278131e+307,nan,nan,True,5226,20000,0.4,79,0.7236887393311314,False,0.2888070000335574
4C_stability,0.7,0.3,0.0,0,200,1e-08,2.616009921586579e-06,attractor,1.1692804149166631,0.9960568762298936,0.19923639097566473,False,20000,20000,0.4,664,6.082649657162928,False,0.7534518330357969
4C_stability,0.7,0.3,0.0,1,200,1e-08,5.387954444128586e-05,attractor,1.0082397089755286,1.0029191918489868,0.19109928476527702,False,20000,20000,0.4,853,7.814006261385507,False,0.7516802919562906
4C_stability,0.7,0.3,0.0,2,200,1e-08,5.302685694945565e-05,attractor,1.0035381376253747,1.0021452146360923,0.16247463210744567,False,20000,20000,0.4,480,4.39709613770814,False,0.7574370000511408
4C_stability,0.7,0.3,0.0,3,200,1e-08,6.169716923873444e-06,attractor,1.0452377650491567,1.0051078378244986,0.1489620487416834,False,20000,20000,0.4,648,5.9360797859059895,False,0.7562767078634351
4C_stability,0.7,0.3,0.0,4,200,1e-08,2.804748027075658e-06,attractor,1.0080495183790785,1.0050185326931227,0.20357483617223926,False,20000,20000,0.4,662,6.064328423255811,False,0.7545560409780592
4C_stability,0.7,0.3,0.0001,0,200,1e-06,4.2298613075341525e-05,attractor,1.054256346794941,0.9991428643817408,0.2198111844554377,False,20000,20000,0.4,652,5.9727222537202245,False,0.8210700831841677
4C_stability,0.7,0.3,0.0001,1,200,1e-06,8.95876236968857e-05,attractor,1.034419079406325,0.9969323832722392,0.1905829937464163,False,20000,20000,0.4,845,7.740721325757038,False,0.8223202920053154
4C_stability,0.7,0.3,0.0001,2,200,1e-08,0.00014044958062739651,attractor,1.0342226733878968,1.0018933835499897,0.1923515035058103,False,20000,20000,0.4,842,7.713239474896363,False,0.8218174588400871
4C_stability,0.7,0.3,0.0001,3,200,1e-07,5.3366045491879154e-05,attractor,1.0291409034279908,1.006175879978662,0.18566563391100632,False,20000,20000,0.4,649,5.9452404028595485,False,0.8211403749883175
4C_stability,0.7,0.3,0.0001,4,200,1e-07,3.935744744633292e-05,attractor,1.0265856482049664,1.0050408124981707,0.20903457291260916,False,20000,20000,0.4,876,8.024700451317356,False,0.8414139170199633
4C_stability,0.7,0.3,0.001,0,200,1e-05,0.00026383026771578194,attractor,1.0888698014009952,0.9924198088746161,0.1947402585058168,False,20000,20000,0.4,208,1.9054083263401942,False,0.8196623749099672
4C_stability,0.7,0.3,0.001,1,200,1e-08,0.0004049422336026153,attractor,1.0336037186453806,1.001038125656957,0.1378821312391185,False,20000,20000,0.4,305,2.793988170835381,False,0.8248476251028478
4C_stability,0.7,0.3,0.001,2,200,1e-08,0.00045562224933406564,attractor,1.0224325202625224,1.0001513010928638,0.14761095787922185,False,20000,20000,0.4,464,4.250526266451202,False,0.8217262080870569
4C_stability,0.7,0.3,0.001,3,200,1e-06,0.00034733945871111093,attractor,1.0328820406704322,0.9969949473878992,0.14015571605777766,False,20000,20000,0.4,423,3.874940971355299,False,0.820957874879241
4C_stability,0.7,0.3,0.001,4,200,1e-05,0.00028293304949834376,attractor,1.0313096722644473,0.9938650975250042,0.19445743865720236,False,20000,20000,0.4,77,0.7053675054240142,False,0.820569499861449
4C_stability,0.7,0.3,0.01,0,200,0.001,0.0018274892424323705,attractor,1.0841538302121858,0.9899868481978713,0.18480473346272214,False,20000,20000,0.4,123,1.1267558852877109,False,0.8233363751787692
4C_stability,0.7,0.3,0.01,1,200,0.0001,0.0025101879772486202,attractor,1.034332473428758,1.014414984533438,0.1722478267276998,False,20000,20000,0.4,160,1.4656987125693801,False,0.8229507920332253
4C_stability,0.7,0.3,0.01,2,200,1e-08,0.0024256164067371607,attractor,1.0129282457065094,1.0118874034757315,0.22406251626077048,False,20000,20000,0.4,162,1.4840199464764974,False,0.8154753749258816
4C_stability,0.7,0.3,0.01,3,200,1e-08,0.0020344956504951867,diverged,3.0921228810719487e+305,nan,nan,False,20000,20000,0.4,222,2.033656963690015,False,0.8169555000495166
4C_stability,0.7,0.3,0.01,4,200,1e-08,0.0018868097221640121,diverged,6.411203625873771e+172,nan,nan,False,20000,20000,0.4,49,0.44887023072437265,False,0.8190480421762913
4C_stability,0.7,0.6,0.0,0,200,1e-08,2.780731613872489e-06,attractor,1.103034709033042,0.995876170497932,0.14011535076521228,False,20000,20000,0.4,1039,9.517881014747413,False,0.7552787919994444
4C_stability,0.7,0.6,0.0,1,200,1e-08,1.7302092143383765e-05,attractor,0.9585876450086975,1.0082014310918006,0.2087183621169938,False,20000,20000,0.4,854,7.823166878339067,False,0.7544399171601981
4C_stability,0.7,0.6,0.0,2,200,1e-08,4.517378741972261e-05,attractor,1.0698832796640738,1.0011506448592558,0.23238027188964075,False,20000,20000,0.4,489,4.4795416902901675,False,0.7502794158644974
4C_stability,0.7,0.6,0.0,3,200,1e-08,6.083778903481322e-06,attractor,1.0199572726860358,1.0110275388063383,0.12704531448493925,False,20000,20000,0.4,881,8.07050353608515,False,0.7529292500112206
4C_stability,0.7,0.6,0.0,4,200,1e-08,3.119009801640818e-06,attractor,1.0654595592446834,1.0017762158308772,0.25344814086075257,False,20000,20000,0.4,806,7.383457264568253,False,0.752530291909352
4C_stability,0.7,0.6,0.0001,0,200,1e-06,6.827436935935387e-05,attractor,1.1382357099464122,0.9865441477787044,0.2251789834540947,False,20000,20000,0.4,648,5.9360797859059895,False,0.8236971660517156
4C_stability,0.7,0.6,0.0001,1,200,1e-08,0.00011447589204660927,attractor,0.9954213576843527,1.0035613341207665,0.14774196298164735,False,20000,20000,0.4,696,6.375789399676803,False,0.8175505409017205
4C_stability,0.7,0.6,0.0001,2,200,1e-08,0.00017034688495721904,attractor,1.0587831304774515,1.0032324852779124,0.1684830298028509,False,20000,20000,0.4,488,4.470381073336609,False,0.8217484168708324
4C_stability,0.7,0.6,0.0001,3,200,1e-07,8.441937602276403e-05,attractor,1.0255210764774176,1.0152983919430343,0.1709333444789658,False,20000,20000,0.4,569,5.212391046574858,False,0.8182659579906613
4C_stability,0.7,0.6,0.0001,4,200,1e-07,6.40892351065752e-05,attractor,1.0502154257129097,1.0009270651039681,0.14111708170118062,False,20000,20000,0.4,499,4.5711478598257544,False,0.8178899169433862
4C_stability,0.7,0.6,0.001,0,200,1e-05,0.00045118737935966307,attractor,1.126970471524654,0.8355252382357878,0.08590629258944991,False,20000,20000,0.4,355,3.2520190185133124,False,0.8194088339805603
4C_stability,0.7,0.6,0.001,1,200,1e-08,0.0006514783575763789,attractor,1.0539404477690488,0.9996761144206496,0.1785053900560137,False,20000,20000,0.4,297,2.720703235206912,False,0.8214657080825418
4C_stability,0.7,0.6,0.001,2,200,1e-08,0.0007043041963233506,attractor,1.0603440716611883,0.43187531091627546,-0.0008468056428641795,False,20000,20000,0.4,468,4.287168734265436,False,0.8220015408005565
4C_stability,0.7,0.6,0.001,3,200,1e-08,0.0005561071010427569,attractor,1.0473038904809873,0.6704434081199996,-0.0002464915237224994,False,20000,20000,0.4,427,3.9115834391695334,False,0.8207444169092923
4C_stability,0.7,0.6,0.001,4,200,1e-05,0.00047902047584478554,attractor,1.0147599893468795,1.0047039281421353,0.21135070306763815,False,20000,20000,0.4,79,0.7236887393311314,False,0.8143379590474069
4C_stability,0.7,0.6,0.01,0,200,0.001,0.0031870770103245988,diverged,6.569727915205507e+307,nan,nan,True,6637,20000,0.4,54,0.4946733154921658,False,0.3356127080041915
4C_stability,0.7,0.6,0.01,1,200,0.001,0.0042019371000496224,attractor,1.2638414004016418,0.9282852218831782,0.05836325996526738,False,20000,20000,0.4,82,0.7511705901918073,False,0.8216025421861559
4C_stability,0.7,0.6,0.01,2,200,0.001,0.003830402693499413,attractor,1.2154443888428474,1.0192128416666077,0.19011753240717558,False,20000,20000,0.4,240,2.19854806885407,False,0.8166466250550002
4C_stability,0.7,0.6,0.01,3,200,0.0001,0.003578306444516545,attractor,1.00613488162283,1.018746051456554,0.19012159798718978,False,20000,20000,0.4,25,0.22901542383896564,False,0.8238351659383625
