dataset,series,method,replicate,seed_reservoir,seed_task,seed_split,seed_control,normalize,preprocessor_id,selected_alpha,auprc,auprc_random,anomaly_rate,threshold,f1_calibrated,precision_calibrated,recall_calibrated,far_test,n_evaluated,n_train,n_calibration,n_test,t0,split_offset,wall_time_s,f1_test_optimal,pa_f1_k0,pa_f1_random_k0,pa_f1_k20,pa_f1_random_k20
mgab,1,esn_residual,0,0,1,2,5,zscore,b5f519585481,1e-07,0.1596921351009136,0.04512335746031543,0.045157657657657654,0.02713656935194564,0.1713738630923887,0.36907216494845363,0.11159600997506235,0.009022290364429768,35520,14800,8880,35520,200,488,0.038728417130187154,0.17905759162303664,0.912919749573136,0.8745910577971647,0.1713738630923887,0.02393489707994256
mgab,1,delay_line_residual,0,0,1,2,5,zscore,b5f519585481,1e-08,0.045242948231516075,0.04512335746031543,0.045157657657657654,0.06061235823959521,0.021795537104307212,0.06501547987616099,0.013092269326683292,0.008904351928293431,35520,14800,8880,35520,200,488,0.038387208012863994,0.08650164482554064,0.7738822772595689,0.9121410292863236,0.021795537104307212,0.014530358069538143
mgab,1,persistence_residual,0,0,1,2,5,zscore,b5f519585481,nan,0.044736943275764336,0.04512335746031543,0.045157657657657654,0.26470751240265145,0.007345225603357817,0.023178807947019868,0.004364089775561097,0.008697959665054841,35520,14800,8880,35520,200,488,0.03776524984277785,0.08658900027092928,0.5938541281007034,0.9173577352016014,0.007345225603357817,0.013641133263378803
mgab,1,moving_statistics,0,0,1,2,5,zscore,b5f519585481,nan,0.04541487429689545,0.04512335746031543,0.045157657657657654,3.022786740431002,0.018471010774756286,0.05217391304347826,0.011221945137157107,0.009641467154145536,35520,14800,8880,35520,200,488,0.03762729209847748,0.08662310309445374,0.9074964639321075,0.9072398190045249,0.018471010774756286,0.01744484350949205
mgab,1,random_control,0,0,1,2,5,zscore,b5f519585481,nan,0.04512335746031543,0.04512335746031543,0.045157657657657654,0.7396820929552632,0.012705134992059289,0.042105263157894736,0.007481296758104738,0.008049298266304988,35520,14800,8880,35520,200,488,0.03826254094019532,0.08645036110811685,0.9215742602700374,0.9215742602700374,0.012705134992059289,0.012705134992059289
mgab,1,input_norm_control,0,0,1,2,5,zscore,b5f519585481,nan,0.04391387705392271,0.04512335746031543,0.045157657657657654,1.963645778726459,0.010660980810234541,0.03676470588235294,0.006234413965087282,0.007724967566930063,35520,14800,8880,35520,200,488,0.038191250059753656,0.08753971055418285,0.7839687194525903,0.9250288350634371,0.010660980810234541,0.01279317697228145
mgab,1,esn_residual,1,0,1,2,5,zscore,b5f519585481,1e-08,0.14759681914284584,0.045675622709163616,0.045157657657657654,0.02758430747092433,0.15641908509591737,0.3706293706293706,0.09912718204488778,0.007960844439202737,35520,14800,8880,35520,200,201,0.038358042016625404,0.15959079283887467,0.9223691776883267,0.8869228642521426,0.15641908509591737,0.019675356615838663
mgab,1,delay_line_residual,1,0,1,2,5,zscore,b5f519585481,1e-08,0.045113830559078125,0.045675622709163616,0.045157657657657654,0.06045468059123493,0.021593830334190232,0.06158357771260997,0.013092269326683292,0.009435074890906947,35520,14800,8880,35520,200,201,0.038236083928495646,0.0864969801553063,0.7694275663575311,0.9080101896405322,0.021593830334190232,0.016452442159383032
mgab,1,persistence_residual,1,0,1,2,5,zscore,b5f519585481,nan,0.04475894087534496,0.045675622709163616,0.045157657657657654,0.26388069715756046,0.009278350515463916,0.026785714285714284,0.005610972568578554,0.009641467154145536,35520,14800,8880,35520,200,201,0.03819449990987778,0.08659603869184707,0.7677089980855138,0.909297052154195,0.009278350515463916,0.016494845360824743
mgab,1,moving_statistics,1,0,1,2,5,zscore,b5f519585481,nan,0.04543578367881772,0.045675622709163616,0.045157657657657654,3.0176064028855762,0.01836734693877551,0.05056179775280899,0.011221945137157107,0.009965797853520463,35520,14800,8880,35520,200,201,0.03800562513060868,0.08662310309445374,0.9046813310772702,0.9044262757259656,0.01836734693877551,0.017346938775510207
