dataset,normalize,input_window,score_smoothing,is_headline,method,auprc_mean,auprc_sd,auprc_random_mean,n_pairs,n_better_than_control,control_sign_p,distinguishable,rank,reference_rank,rank_changed,reference_distinguishable,kendall_tau,n_discordant_pairs,n_discordant_pairs_distinguishable
mgab,zscore,8,1,False,esn_residual,0.12407590434520133,0.010630413744119955,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,zscore,8,1,False,delay_line_residual,0.055877360717687896,0.010443628591879237,0.05615605185339527,15,7,0.696380615234375,False,3,2,True,False,0.7333333333333333,2,0
mgab,zscore,8,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,4,5,True,False,0.7333333333333333,2,0
mgab,zscore,8,1,False,moving_statistics,0.055657572494692845,0.009819020834335076,0.05615605185339527,15,5,0.940765380859375,False,5,4,True,False,0.7333333333333333,2,0
mgab,zscore,8,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,2,3,True,False,0.7333333333333333,2,0
mgab,zscore,8,1,False,input_norm_control,0.055171173913686845,0.011656813480854877,0.05615605185339527,15,5,0.940765380859375,False,6,6,False,False,0.7333333333333333,2,0
mgab,zscore,8,8,False,esn_residual,0.16017707354685082,0.012992307651294584,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,zscore,8,8,False,delay_line_residual,0.056734090971622825,0.011150708952114426,0.056650660484146395,15,9,0.303619384765625,False,2,2,False,False,0.7333333333333333,2,0
mgab,zscore,8,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,4,5,True,False,0.7333333333333333,2,0
mgab,zscore,8,8,False,moving_statistics,0.05529429544103737,0.010222576104277918,0.056650660484146395,15,4,0.982421875,False,6,4,True,False,0.7333333333333333,2,0
mgab,zscore,8,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,zscore,8,8,False,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,5,6,True,False,0.7333333333333333,2,0
mgab,zscore,8,16,False,esn_residual,0.1840089925380308,0.01461748400904876,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,zscore,8,16,False,delay_line_residual,0.058066195919274116,0.012606221330279109,0.057047673586720374,15,10,0.15087890625,False,2,2,False,False,0.6,3,0
mgab,zscore,8,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,5,5,False,False,0.6,3,0
mgab,zscore,8,16,False,moving_statistics,0.05484755519742956,0.011080828529781312,0.057047673586720374,15,6,0.84912109375,False,6,4,True,False,0.6,3,0
mgab,zscore,8,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.6,3,0
mgab,zscore,8,16,False,input_norm_control,0.05593782184321021,0.012002198572943247,0.057047673586720374,15,6,0.84912109375,False,4,6,True,False,0.6,3,0
mgab,zscore,16,1,False,esn_residual,0.12407590434520133,0.010630413744119955,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,zscore,16,1,False,delay_line_residual,0.055933959702738484,0.010689195974171884,0.05615605185339527,15,5,0.940765380859375,False,4,2,True,False,0.6,3,0
mgab,zscore,16,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,5,5,False,False,0.6,3,0
mgab,zscore,16,1,False,moving_statistics,0.05628788497498015,0.010441009443617724,0.05615605185339527,15,9,0.303619384765625,False,2,4,True,False,0.6,3,0
mgab,zscore,16,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,3,3,False,False,0.6,3,0
mgab,zscore,16,1,False,input_norm_control,0.055171173913686845,0.011656813480854877,0.05615605185339527,15,5,0.940765380859375,False,6,6,False,False,0.6,3,0
mgab,zscore,16,8,True,esn_residual,0.16017707354685082,0.012992307651294584,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,1.0,0,0
mgab,zscore,16,8,True,delay_line_residual,0.05696706197059688,0.011791184518968495,0.056650660484146395,15,9,0.303619384765625,False,2,2,False,False,1.0,0,0
mgab,zscore,16,8,True,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,5,5,False,False,1.0,0,0
mgab,zscore,16,8,True,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,4,4,False,False,1.0,0,0
mgab,zscore,16,8,True,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,3,3,False,False,1.0,0,0
mgab,zscore,16,8,True,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,6,6,False,False,1.0,0,0
mgab,zscore,16,16,False,esn_residual,0.1840089925380308,0.01461748400904876,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,zscore,16,16,False,delay_line_residual,0.058496671439192446,0.013750081042526934,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,0.7333333333333333,2,0
mgab,zscore,16,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,6,5,True,False,0.7333333333333333,2,0
mgab,zscore,16,16,False,moving_statistics,0.05592067129504764,0.011411675854101038,0.057047673586720374,15,6,0.84912109375,False,5,4,True,False,0.7333333333333333,2,0
mgab,zscore,16,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,zscore,16,16,False,input_norm_control,0.05593782184321021,0.012002198572943247,0.057047673586720374,15,6,0.84912109375,False,4,6,True,False,0.7333333333333333,2,0
mgab,zscore,32,1,False,esn_residual,0.12407590434520133,0.010630413744119955,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.4666666666666667,4,0
mgab,zscore,32,1,False,delay_line_residual,0.05578910714249282,0.010679200267378813,0.05615605185339527,15,5,0.940765380859375,False,4,2,True,False,0.4666666666666667,4,0
mgab,zscore,32,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,3,5,True,False,0.4666666666666667,4,0
mgab,zscore,32,1,False,moving_statistics,0.054571038604194294,0.01034203437347568,0.05615605185339527,15,0,1.0,False,6,4,True,False,0.4666666666666667,4,0
mgab,zscore,32,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,2,3,True,False,0.4666666666666667,4,0
mgab,zscore,32,1,False,input_norm_control,0.055171173913686845,0.011656813480854877,0.05615605185339527,15,5,0.940765380859375,False,5,6,True,False,0.4666666666666667,4,0
mgab,zscore,32,8,False,esn_residual,0.16017707354685082,0.012992307651294584,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,zscore,32,8,False,delay_line_residual,0.05640551585288526,0.012489354521225966,0.056650660484146395,15,7,0.696380615234375,False,3,2,True,False,0.6,3,0
mgab,zscore,32,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,4,5,True,False,0.6,3,0
mgab,zscore,32,8,False,moving_statistics,0.054223942237873045,0.010421803801559994,0.056650660484146395,15,3,0.996307373046875,False,6,4,True,False,0.6,3,0
mgab,zscore,32,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,2,3,True,False,0.6,3,0
mgab,zscore,32,8,False,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,5,6,True,False,0.6,3,0
mgab,zscore,32,16,False,esn_residual,0.1840089925380308,0.01461748400904876,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,zscore,32,16,False,delay_line_residual,0.057537597234803534,0.01428835483456736,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,0.6,3,0
mgab,zscore,32,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,5,5,False,False,0.6,3,0
mgab,zscore,32,16,False,moving_statistics,0.05492743849916902,0.011763070260775095,0.057047673586720374,15,6,0.84912109375,False,6,4,True,False,0.6,3,0
mgab,zscore,32,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.6,3,0
mgab,zscore,32,16,False,input_norm_control,0.05593782184321021,0.012002198572943247,0.057047673586720374,15,6,0.84912109375,False,4,6,True,False,0.6,3,0
mgab,minmax,8,1,False,esn_residual,0.12477555030724206,0.010151460608521571,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,minmax,8,1,False,delay_line_residual,0.05587723684609827,0.010443626844663918,0.05615605185339527,15,7,0.696380615234375,False,3,2,True,False,0.7333333333333333,2,0
mgab,minmax,8,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,4,5,True,False,0.7333333333333333,2,0
mgab,minmax,8,1,False,moving_statistics,0.055657572494692845,0.009819020834335076,0.05615605185339527,15,5,0.940765380859375,False,5,4,True,False,0.7333333333333333,2,0
mgab,minmax,8,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,2,3,True,False,0.7333333333333333,2,0
mgab,minmax,8,1,False,input_norm_control,0.0553272588904776,0.010587286824023634,0.05615605185339527,15,2,0.99951171875,False,6,6,False,False,0.7333333333333333,2,0
mgab,minmax,8,8,False,esn_residual,0.16327650785506337,0.014686554757278189,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,minmax,8,8,False,delay_line_residual,0.05673413902061603,0.011150618365774597,0.056650660484146395,15,9,0.303619384765625,False,2,2,False,False,0.7333333333333333,2,0
