dataset,n_units,method,auprc_mean,auprc_sd,auprc_random_mean,n_pairs,n_better_than_control,control_sign_p,distinguishable,reference_n_units,auprc_reference,auprc_ratio,below_reference_fraction,n_train
mgab,25,esn_residual,0.07514267878070784,0.014871536002289966,0.056650660484146395,15,15,3.0517578125e-05,True,200,0.16017707354685082,0.4691225599069836,True,14800
mgab,25,delay_line_residual,0.05696706197059688,0.011791184518968495,0.056650660484146395,15,9,0.303619384765625,False,200,0.05696706197059688,1.0,False,14800
mgab,25,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,200,0.055944423890644315,1.0,False,14800
mgab,25,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,200,0.056048530821356586,1.0,False,14800
mgab,25,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,200,0.056650660484146395,1.0,False,14800
mgab,25,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,200,0.0557897491063369,1.0,False,14800
mgab,50,esn_residual,0.09362618751712341,0.01614354362264919,0.056650660484146395,15,15,3.0517578125e-05,True,200,0.16017707354685082,0.5845167816088133,True,14800
mgab,50,delay_line_residual,0.05696706197059688,0.011791184518968495,0.056650660484146395,15,9,0.303619384765625,False,200,0.05696706197059688,1.0,False,14800
mgab,50,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,200,0.055944423890644315,1.0,False,14800
mgab,50,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,200,0.056048530821356586,1.0,False,14800
mgab,50,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,200,0.056650660484146395,1.0,False,14800
mgab,50,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,200,0.0557897491063369,1.0,False,14800
mgab,100,esn_residual,0.1392238315750163,0.013771574203746311,0.056650660484146395,15,15,3.0517578125e-05,True,200,0.16017707354685082,0.8691870096771008,True,14800
mgab,100,delay_line_residual,0.05696706197059688,0.011791184518968495,0.056650660484146395,15,9,0.303619384765625,False,200,0.05696706197059688,1.0,False,14800
mgab,100,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,200,0.055944423890644315,1.0,False,14800
mgab,100,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,200,0.056048530821356586,1.0,False,14800
mgab,100,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,200,0.056650660484146395,1.0,False,14800
mgab,100,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,200,0.0557897491063369,1.0,False,14800
mgab,200,esn_residual,0.16017707354685082,0.012992307651294584,0.056650660484146395,15,15,3.0517578125e-05,True,200,0.16017707354685082,1.0,False,14800
mgab,200,delay_line_residual,0.05696706197059688,0.011791184518968495,0.056650660484146395,15,9,0.303619384765625,False,200,0.05696706197059688,1.0,False,14800
mgab,200,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,200,0.055944423890644315,1.0,False,14800
mgab,200,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,200,0.056048530821356586,1.0,False,14800
mgab,200,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,200,0.056650660484146395,1.0,False,14800
mgab,200,input_norm_control,0.0557897491063369,0.011320101027621283,0.056650660484146395,15,7,0.696380615234375,False,200,0.0557897491063369,1.0,False,14800
